행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
마티네 콘서트 「마실」 - 크로키키 브라더스,남동소래아트홀 소래극장,코미디,2019-05-29,2019-05-29,11:00,12:30,무료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공단+문화체육관광부,032-460-0560,,703,,24개월 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
EBS 번개맨과 함께하는 「모여라 딩동댕」,남동소래아트홀 소래극장,공개방송,2019-06-19,2019-06-19,14:00,20:30,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,,24개월 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 두번째 달&김준수의 판소리 춘향가,남동소래아트홀 소래극장,국악,2019-06-26,2019-06-26,11:00,12:30,유료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공단+문화체육관광부,032-460-0560,,703,전석3000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
「N’s Pick」 선정작 - 뮤지컬 루나틱,남동소래아트홀 소래극장,뮤지컬,2019-06-29,2019-06-29,19:00,21:00,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,전석30000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
전시체험 「열려라 마법 숲」,남동소래아트홀 갤러리화소,전시회,2019-08-29,2019-09-28,10:00,17:00,유료,남동구도시관리공단+아트인어스,남동구도시관리공단+한국문화예술회관연합회,032-460-0560,문화체육관광부+국민체육진흥공단,,도슨트관람2000원+연계프로그램5000원,4세 ~ 10세,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
코미디 연극 「톡톡」,남동소래아트홀 소래극장,연극,2019-09-06,2019-09-07,15:00,21:20,유료,남동구도시관리공단+연극열전,남동구도시관리공단+한국문화예술회관연합회,032-460-0560,문화체육관광부+한국문화예술위원회,703,전석25000원,만 13세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 문학콘서트 소나기,남동소래아트홀 소래극장,콘서트,2019-09-25,2019-09-25,11:00,12:10,무료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공단+문화체육관광부,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
「SAC on Screen」 - 오페라 마술피리,남동소래아트홀 소래극장,영상프로그램,2019-10-01,2019-10-01,09:30,16:00,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
문화로 즐기는 「소래 밤마실」,남동소래아트홀 야외무대,콘서트,2019-10-19,2019-10-19,16:00,21:00,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,,,전연령,,,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
"안숙선, 남상일의 「토선생, 용궁가다」",남동소래아트홀 소래극장,국악,2019-10-26,2019-10-26,19:00,20:20,유료,남동구도시관리공단+랑커뮤니케이션,남동구도시관리공단+한국문화예술회관연합회,032-460-0560,문화체육관광부+한국문화예술위원회,703,전석20000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - EDGE CLASSIC,남동소래아트홀 소래극장,콘서트,2019-10-30,2019-10-30,11:00,12:10,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,전석3000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
노인지도사직무교육,삼척문화예술회관 소공연장,노인지도사직무교육,2022-10-11,2022-10-11,10:00,12:00,무료,대한노인회 삼척시지회,대한노인회 삼척시지회,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
여여회 도자기 회원전,삼척문화예술회관 전시실,여여회 도자기 회원전,2022-10-13,2022-10-16,10:00,18:00,무료,한국통가마협회,한국통가마협회,,,,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
제28회 삼척시민의날 행사,삼척문화예술회관 대공연장,제28회 삼척시민의날 행사,2022-10-14,2022-10-14,10:00,12:00,무료,강원도 삼척시청 총무과,강원도 삼척시청 총무과,,,932,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
제13회 평생학습축제 및 제3회 책축제,삼척문화예술회관 일원,제13회 평생학습축제 및 제3회 책축제,2022-10-22,2022-10-23,10:00,18:00,무료,평생학습관 총학생회,강원도 삼척시청,,,,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
연극 fighters,삼척문화예술회관 소공연장,연극 fighters,2022-10-26,2022-10-26,19:30,21:00,무료,삼척 연극협회,삼척예총,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
제3회 삼척시 보훈단체 안보결의대회,삼척문화예술회관 대공연장,제3회 삼척시 보훈단체 안보결의대회,2022-10-27,2022-10-27,10:00,14:00,무료,상이군경회 삼척시지회,상이군경회 삼척시지회,,,932,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
삼척시의회 의정비결정 주민공청회,삼척문화예술회관 소공연장,삼척시의회 의정비결정 주민공청회,2022-10-28,2022-10-28,10:00,12:00,무료,강원도 삼척시청 기획조정실,강원도 삼척시청 기획조정실,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
삼척 천은사의 역사와 불교유산 학술대회,삼척문화예술회관 소공연장,삼척 천은사의 역사와 불교유산 학술대회,2022-10-28,2022-10-28,13:00,17:30,무료,불교문화재연구소,강원도 삼척시청,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
삼척연안미술행동 전시,삼척문화예술회관 전시실,삼척연안미술행동 전시,2022-10-28,2022-11-04,09:00,18:00,무료,삼척석탄화력반대투쟁위,삼척석탄화력반대투쟁위,,,,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
가족매직쇼 공룡애니멀 쇼,삼척문화예술회관 대공연장,가족매직쇼 공룡애니멀 쇼,2022-10-29,2022-10-29,11:00,17:00,유료,영기획,영기획,,,932,,24개월이상,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
산불종사원 안전보건교육,삼척문화예술회관 소공연장,산불종사원 안전보건교육,2022-11-01,2022-11-01,09:00,18:00,무료,강원도 삼척시청 산림과,강원도 삼척시청 산림과,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
근로자 산업안전보건 교육,삼척문화예술회관 소공연장,근로자 산업안전보건 교육,2022-11-02,2022-11-03,10:00,16:00,무료,강원도 삼척시청 재난안전과,강원도 삼척시청 재난안전과,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
한국통가마협회회원전,삼척문화예술회관 전시실,한국통가마협회회원전,2022-11-02,2022-11-10,09:00,18:00,무료,한국통가마협회,한국통가마협회,,,,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
윤승업오케스트라와 함께하는 양수경의 사랑하세요,삼척문화예술회관 대공연장,윤승업오케스트라와 함께하는 양수경의 사랑하세요,2022-11-12,2022-11-02,17:00,19:00,유료,엠플엔터테인먼트,한국문화예술회관엽합회,,,932,,만7세이상,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
탄소중립 자 꾸버 꽁치전(회화),삼척문화예술회관 전시실,탄소중립 자 꾸버 꽁치전(회화),2022-11-14,2022-11-23,09:00,18:00,무료,부남미술관,부남미술관,,,,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
경로당 프로그램 발표대회,삼척문화예술회관 대공연장,경로당 프로그램 발표대회,2022-11-15,2022-11-15,13:30,17:00,무료,(사)대한노인회,(사)대한노인회,,,932,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
콘서트누가 내 머리에 똥 쌌어?,삼척문화예술회관 대공연장,콘서트누가 내 머리에 똥 쌌어?,2022-11-19,2022-11-19,11:00,17:00,유료,아트컴퍼니,아트컴퍼니,,,932,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
근덕미소오케스트라 정기연주회,삼척문화예술회관 대공연장,근덕미소오케스트라 정기연주회,2022-11-23,2022-11-23,19:00,20:30,무료,근덕초등학교,근덕초등학교,,,932,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
축산 관련 종사자 교육,삼척문화예술회관 소공연장,축산 관련 종사자 교육,2022-11-24,2022-11-24,09:00,17:00,무료,동해삼척태백축산업협동조합,동해삼척태백축산업협동조합,,,248,,전연령,,,,,Y,강원특별자치도 삼척시 엑스포로 45,강원특별자치도 삼척시 성남동1-5,37.43896231,129.160162,2023-07-06,4241000,강원특별자치도 삼척시
신년공연 「빈소년합창단 신년음악회」,남동소래아트홀 소래극장,콘서트,2019-01-18,2019-01-18,19:30,21:00,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석60000원+S석45000,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 청춘 : 인천으로 온 재비,남동소래아트홀 소래극장,국악,2019-02-27,2019-02-27,11:00,12:30,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,전석3000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
기획공연 「화이트데이콘서트 With 이루마」,남동소래아트홀 소래극장,클래식,2019-03-16,2019-03-16,19:00,20:30,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석55000원+S석45000원+A석30000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 최진사댁 셋째딸 신랑찾기,남동소래아트홀 소래극장,뮤지컬,2019-03-27,2019-03-27,11:00,12:30,무료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공+문화체육관광부,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
체험형 아트마켓 「우리마을 아트장터」,남동소래아트홀 갤러리화소,프리마켓,2019-03-29,2019-03-31,10:00,17:00,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,,,24개월 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
산수유 신춘 시낭송회,봉성면 띠띠미마을,시낭송+시화전시+음악공연,2023-04-01,2023-04-01,13:30,15:00,무료,한국문인협회 봉화지부,한국문인협회 봉화지부,,,,,,,,,, ,경상북도 봉화군 봉성면 산수유길 248,,36.933325,128.804764,2023-10-04,5240000,경상북도 봉화군
우리동네 작은 음악회,봉성면 충효당,음악공연,2023-04-25,2023-04-25,18:30,20:30,무료,한국예총 봉화지회,한국예총 봉화지회,,,,,,,,,, ,경상북도 봉화군 봉성면 창평본마길 11-3,,36.91681285,128.8056659,2023-10-04,5240000,경상북도 봉화군
정자음악회,춘양면 한수정,음악공연,2023-05-19,2023-05-19,19:00,21:00,무료,봉화문화원,봉화문화원,,,,,,,,,, ,,경상북도 봉화군 춘양면 의양리 134,36.93864419,128.9164729,2023-10-04,5240000,경상북도 봉화군
연등문화제,내성천 체육공원 야외공연장,공연+법요식,2023-05-20,2023-05-20,18:00,21:00,무료,봉화불교봉축위원회,봉화불교봉축위원회,,,,,,,,,, ,,경상북도 봉화군 봉화읍 내성리 506,36.89039738,128.7379707,2023-10-04,5240000,경상북도 봉화군
우리동네 작은 음악회,석포면 반야 야생화단지,음악공연,2023-06-22,2023-06-22,18:30,21:00,무료,한국예총 봉화지회,한국예총 봉화지회,,,,,,,,,, ,,경상북도 봉화군 석포면 석포리 260-1,37.0473062,129.072509,2023-10-04,5240000,경상북도 봉화군
우리동네 작은 음악회,재산면 재산초등학교,음악공연,2023-09-13,2023-09-13,18:30,21:00,무료,한국예총 봉화지회,한국예총 봉화지회,,,,,,,,,, ,경상북도 봉화군 재산면 재산로 514,,36.8171639,128.9630644,2023-10-04,5240000,경상북도 봉화군
난지도-꽃섬2022,춘천문화예술회관,난지도의 지역적 이미지를 무용적으로 해석한 공연,2022-06-07,2022-06-08,19:30,20:30,유료,조성희아하댄스씨어터,조성희아하댄스씨어터,,춘천문화재단,940,20000원,8세 이상,,주류반입 금지+촬영 금지,http://www.cccf.or.kr,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
춘천시립인형극단 호국보훈의 달 기념 특별공연 득충,춘천인형극장,신비로운 자개함을 통해 과거와 현재를 오가며 진행되는 흥미진진한 시간여행 판타지 인형극,2022-06-02,2022-06-04,11:00,11:50,유료,춘천시립예술단,강원도 춘천시청+춘천문화재단,070-4633-5798,,697,10000원,36개월 이상,예술단원전용 30+예술인 패스 할인 30+유료회원할인 100+일단 단체 10인 이상 50+춘천 거주지역 할인 30+학생 단체 10인 이상 70+봉사활동(1천시간) 50+학생 및 청소년 할인	 	50+경로할인 	50+국가유공자 	50+장애인 할인	 50,,http://www.cccf.or.kr,,Y,강원도 춘천시 영서로 3017 춘천인형극장,강원도 춘천시 사농동 277-3,37.92101625,127.7201045,2023-01-20,4180000,강원도 춘천시
모두의살롱 덕후day 나의 오래된 병 이야기,모두의 살롱,70~80년대 오래되고 낡은 병 전시,2022-05-31,2022-06-04,10:00,19:00,무료,춘천문화재단,춘천문화재단,033-259-5425,,30,,전체관람가,,,http://www.cccf.or.kr,,Y,강원도 춘천시 후석로379번길 14,강원도 춘천시 후평동 711-4,37.884317,127.7457871,2023-01-20,4180000,강원도 춘천시
춘천시립청소년합창단 제25회 정기연주회,춘천문화예술회관,춘천시립청소년합창단 정기연주회,2022-06-04,2022-06-04,19:00,20:30,무료,춘천문화재단,춘천문화재단,033-259-5874,,940,,5세 이상,,주류반입 금지+촬영 금지,http://www.cccf.or.kr,,Y,강원도 춘천시 효자상길5번길 13,강원도 춘천시 효자동 산40-12,37.87261579,127.7293405,2023-01-20,4180000,강원도 춘천시
